Year,GDP
1960,2259 
1961,2240 
1962,2269 
1963,2374 
1964,2555 
1965,2770 
1966,3047 
1967,3217 
1968,3463 
1969,3764 
1970,4122 
1971,4520 
1972,5090 
1973,5839 
1974,7033 
1975,7511 
1976,8809 
1977,8919 
1978,9124 
1979,10044 
1980,11171 
1981,12337 
1982,12482 
1983,13425 
1984,13878 
1985,14115 
1986,14461 
1987,16309 
1988,18937 
1989,20716 
1990,21448 
1991,21768 
1992,20880 
1993,20121 
1994,19935 
1995,20614 
1996,21227 
1997,21902 
1998,21025 
1999,22315 
2000,24271 
2001,23822 
2002,24255 
2003,28300 
2004,32144 
2005,36383 
2006,40504 
2007,44660 
2008,46711 
2009,40876 
2010,47562 
2011,52224 
2012,52669 
2013,52635 
2014,50956 
2015,43596 
2016,42316 
2017,45129 
2018,46549 
